id,year,county,psi_21_cases,psi_21_population,psi_21_rate,psi_22_cases,psi_22_population,psi_22_rate,psi_23_cases,psi_23_population,psi_23_rate,psi_24_cases,psi_24_population,psi_24_rate,psi_25_cases,psi_25_population,psi_25_rate,psi_26_cases,psi_26_population,psi_26_rate,psi_27_cases,psi_27_population,psi_27_rate,gvid
189,2013,Madera,0,115866,0.0,5,115866,4.3,8,115866,6.9,1,115866,0.9,40,115866,34.5,0,115866,0.0,31,115866,26.8,0O060D
190,2005,Marin,2,194828,1.0,10,194828,5.1,40,194828,20.5,2,194828,1.0,74,194828,38.0,0,194828,0.0,90,194828,46.2,0O060F
191,2006,Marin,9,194956,4.6,18,194956,9.2,55,194956,28.2,3,194956,1.5,82,194956,42.1,2,194956,1.0,78,194956,40.0,0O060F
192,2007,Marin,5,196294,2.5,23,196294,11.7,38,196294,19.4,2,196294,1.0,98,196294,49.9,1,196294,0.5,74,196294,37.7,0O060F
193,2008,Marin,3,197929,1.5,15,197929,7.6,19,197929,9.6,4,197929,2.0,86,197929,43.4,0,197929,0.0,92,197929,46.5,0O060F
194,2009,Marin,3,199904,1.5,12,199904,6.0,17,199904,8.5,3,199904,1.5,78,199904,39.0,0,199904,0.0,94,199904,47.0,0O060F
195,2010,Marin,1,201547,0.5,17,201547,8.4,15,201547,7.4,0,201547,0.0,56,201547,27.8,0,201547,0.0,50,201547,24.8,0O060F
196,2011,Marin,5,203181,2.5,15,203181,7.4,11,203181,5.4,4,203181,2.0,50,203181,24.6,0,203181,0.0,74,203181,36.4,0O060F
197,2012,Marin,1,200497,0.5,12,200497,6.0,13,200497,6.5,5,200497,2.5,58,200497,28.9,0,200497,0.0,88,200497,43.9,0O060F
198,2013,Marin,2,200934,1.0,14,200934,7.0,7,200934,3.5,0,200934,0.0,41,200934,20.4,2,200934,1.0,59,200934,29.4,0O060F
199,2005,Mariposa,0,14466,0.0,1,14466,6.9,4,14466,27.7,0,14466,0.0,6,14466,41.5,0,14466,0.0,4,14466,27.7,0O060H
200,2006,Mariposa,1,14728,6.8,2,14728,13.6,5,14728,33.9,0,14728,0.0,4,14728,27.2,0,14728,0.0,6,14728,40.7,0O060H
201,2007,Mariposa,0,14903,0.0,2,14903,13.4,2,14903,13.4,0,14903,0.0,9,14903,60.4,0,14903,0.0,7,14903,47.0,0O060H
202,2008,Mariposa,0,14996,0.0,2,14996,13.3,0,14996,0.0,0,14996,0.0,8,14996,53.3,0,14996,0.0,6,14996,40.0,0O060H
203,2009,Mariposa,0,14925,0.0,2,14925,13.4,1,14925,6.7,1,14925,6.7,6,14925,40.2,0,14925,0.0,11,14925,73.7,0O060H
204,2010,Mariposa,0,15017,0.0,2,15017,13.3,2,15017,13.3,0,15017,0.0,5,15017,33.3,0,15017,0.0,7,15017,46.6,0O060H
205,2011,Mariposa,0,15033,0.0,0,15033,0.0,0,15033,0.0,0,15033,0.0,5,15033,33.3,0,15033,0.0,6,15033,39.9,0O060H
206,2012,Mariposa,0,15494,0.0,0,15494,0.0,1,15494,6.5,0,15494,0.0,4,15494,25.8,0,15494,0.0,6,15494,38.7,0O060H
207,2013,Mariposa,0,15657,0.0,1,15657,6.4,0,15657,0.0,2,15657,12.8,2,15657,12.8,0,15657,0.0,3,15657,19.2,0O060H
208,2005,Mendocino,2,67693,3.0,3,67693,4.4,11,67693,16.2,0,67693,0.0,35,67693,51.7,0,67693,0.0,28,67693,41.4,0O060J
209,2006,Mendocino,3,67469,4.4,7,67469,10.4,21,67469,31.1,5,67469,7.4,41,67469,60.8,0,67469,0.0,40,67469,59.3,0O060J
210,2007,Mendocino,1,67582,1.5,6,67582,8.9,10,67582,14.8,2,67582,3.0,40,67582,59.2,0,67582,0.0,35,67582,51.8,0O060J
211,2008,Mendocino,0,68025,0.0,6,68025,8.8,6,68025,8.8,0,68025,0.0,45,68025,66.2,0,68025,0.0,35,68025,51.5,0O060J
212,2009,Mendocino,3,68421,4.4,11,68421,16.1,8,68421,11.7,0,68421,0.0,32,68421,46.8,0,68421,0.0,36,68421,52.6,0O060J
213,2010,Mendocino,0,68517,0.0,2,68517,2.9,10,68517,14.6,0,68517,0.0,23,68517,33.6,0,68517,0.0,35,68517,51.1,0O060J
214,2011,Mendocino,2,68336,2.9,5,68336,7.3,8,68336,11.7,1,68336,1.5,34,68336,49.8,0,68336,0.0,27,68336,39.5,0O060J
215,2012,Mendocino,1,69281,1.4,8,69281,11.5,6,69281,8.7,0,69281,0.0,20,69281,28.9,0,69281,0.0,31,69281,44.7,0O060J
216,2013,Mendocino,1,69605,1.4,8,69605,11.5,2,69605,2.9,0,69605,0.0,33,69605,47.4,0,69605,0.0,22,69605,31.6,0O060J
217,2005,Merced,6,162795,3.7,16,162795,9.8,44,162795,27.0,3,162795,1.8,73,162795,44.8,0,162795,0.0,54,162795,33.2,0O060L
218,2006,Merced,3,165009,1.8,4,165009,2.4,48,165009,29.1,2,165009,1.2,58,165009,35.1,0,165009,0.0,71,165009,43.0,0O060L
219,2007,Merced,2,167724,1.2,12,167724,7.2,34,167724,20.3,8,167724,4.8,69,167724,41.1,0,167724,0.0,74,167724,44.1,0O060L
220,2008,Merced,2,169736,1.2,15,169736,8.8,18,169736,10.6,3,169736,1.8,54,169736,31.8,0,169736,0.0,68,169736,40.1,0O060L
221,2009,Merced,4,171809,2.3,11,171809,6.4,17,171809,9.9,3,171809,1.7,55,171809,32.0,0,171809,0.0,69,171809,40.2,0O060L
222,2010,Merced,0,175232,0.0,11,175232,6.3,19,175232,10.8,2,175232,1.1,61,175232,34.8,0,175232,0.0,65,175232,37.1,0O060L
223,2011,Merced,4,178783,2.2,4,178783,2.2,17,178783,9.5,5,178783,2.8,71,178783,39.7,0,178783,0.0,53,178783,29.6,0O060L
224,2012,Merced,3,183534,1.6,10,183534,5.4,13,183534,7.1,4,183534,2.2,50,183534,27.2,0,183534,0.0,54,183534,29.4,0O060L
225,2013,Merced,2,186931,1.1,14,186931,7.5,13,186931,7.0,3,186931,1.6,56,186931,30.0,0,186931,0.0,47,186931,25.1,0O060L
226,2005,Modoc,0,7407,0.0,1,7407,13.5,1,7407,13.5,0,7407,0.0,2,7407,27.0,0,7407,0.0,3,7407,40.5,0O060N
227,2006,Modoc,0,7461,0.0,0,7461,0.0,0,7461,0.0,0,7461,0.0,1,7461,13.4,0,7461,0.0,1,7461,13.4,0O060N
228,2007,Modoc,0,7429,0.0,0,7429,0.0,2,7429,26.9,0,7429,0.0,1,7429,13.5,0,7429,0.0,3,7429,40.4,0O060N
229,2008,Modoc,0,7469,0.0,1,7469,13.4,1,7469,13.4,0,7469,0.0,4,7469,53.6,0,7469,0.0,3,7469,40.2,0O060N
230,2009,Modoc,0,7565,0.0,1,7565,13.2,0,7565,0.0,0,7565,0.0,2,7565,26.4,0,7565,0.0,4,7565,52.9,0O060N
231,2010,Modoc,0,7599,0.0,0,7599,0.0,0,7599,0.0,0,7599,0.0,1,7599,13.2,0,7599,0.0,4,7599,52.6,0O060N
232,2011,Modoc,0,7517,0.0,0,7517,0.0,0,7517,0.0,0,7517,0.0,2,7517,26.6,0,7517,0.0,1,7517,13.3,0O060N
233,2012,Modoc,0,7679,0.0,0,7679,0.0,0,7679,0.0,0,7679,0.0,1,7679,13.0,0,7679,0.0,2,7679,26.0,0O060N
234,2013,Modoc,0,7732,0.0,0,7732,0.0,0,7732,0.0,0,7732,0.0,1,7732,12.9,0,7732,0.0,0,7732,0.0,0O060N
235,2005,Mono,0,10514,0.0,0,10514,0.0,0,10514,0.0,0,10514,0.0,1,10514,9.5,0,10514,0.0,1,10514,9.5,0O060P
236,2006,Mono,0,10747,0.0,0,10747,0.0,0,10747,0.0,0,10747,0.0,3,10747,27.9,0,10747,0.0,3,10747,27.9,0O060P
237,2007,Mono,0,10719,0.0,0,10719,0.0,0,10719,0.0,0,10719,0.0,1,10719,9.3,0,10719,0.0,1,10719,9.3,0O060P
238,2008,Mono,1,10892,9.2,0,10892,0.0,0,10892,0.0,0,10892,0.0,0,10892,0.0,0,10892,0.0,0,10892,0.0,0O060P
239,2009,Mono,0,11055,0.0,0,11055,0.0,0,11055,0.0,0,11055,0.0,2,11055,18.1,0,11055,0.0,2,11055,18.1,0O060P
240,2010,Mono,0,11224,0.0,0,11224,0.0,0,11224,0.0,0,11224,0.0,2,11224,17.8,0,11224,0.0,2,11224,17.8,0O060P
241,2011,Mono,0,11294,0.0,0,11294,0.0,0,11294,0.0,0,11294,0.0,2,11294,17.7,0,11294,0.0,1,11294,8.9,0O060P
242,2012,Mono,0,11396,0.0,0,11396,0.0,0,11396,0.0,0,11396,0.0,4,11396,35.1,0,11396,0.0,4,11396,35.1,0O060P
243,2013,Mono,1,11518,8.7,0,11518,0.0,0,11518,0.0,0,11518,0.0,2,11518,17.4,0,11518,0.0,0,11518,0.0,0O060P
244,2005,Monterey,3,294634,1.0,18,294634,6.1,52,294634,17.6,6,294634,2.0,122,294634,41.4,0,294634,0.0,129,294634,43.8,0O060R
245,2006,Monterey,1,292832,0.3,12,292832,4.1,44,292832,15.0,4,292832,1.4,95,292832,32.4,0,292832,0.0,113,292832,38.6,0O060R
